TEAM_NAME,GP,W,L,OFF_RATING,DEF_RATING,NET_RATING,W_RANK,L_RANK
Atlanta Hawks,22,13,9,114.4,112.4,2.0,8,12
Boston Celtics,21,12,9,120.0,115.6,4.4,15,12
Brooklyn Nets,20,4,16,111.9,121.4,-9.5,27,25
Charlotte Hornets,21,6,15,114.0,118.7,-4.7,24,23
Chicago Bulls,20,9,11,113.4,116.8,-3.4,18,17
Cleveland Cavaliers,22,13,9,116.6,112.9,3.6,8,12
Dallas Mavericks,22,7,15,107.0,111.5,-4.5,22,23
Denver Nuggets,20,14,6,123.7,114.9,8.8,5,5
Detroit Pistons,21,17,4,116.2,110.6,5.6,2,2
Golden State Warriors,22,11,11,112.9,112.2,0.7,16,17
Houston Rockets,18,13,5,122.0,111.1,10.9,8,3
Indiana Pacers,21,4,17,107.2,116.2,-9.0,27,28
LA Clippers,21,5,16,113.7,120.0,-6.3,25,25
Los Angeles Lakers,20,15,5,118.3,115.3,3.1,3,3
Memphis Grizzlies,22,9,13,111.5,115.0,-3.6,18,19
Miami Heat,21,14,7,116.5,111.2,5.3,5,7
Milwaukee Bucks,22,9,13,114.8,116.8,-2.0,18,19
Minnesota Timberwolves,21,13,8,118.4,113.6,4.7,8,10
New Orleans Pelicans,22,3,19,110.5,120.7,-10.2,29,30
New York Knicks,20,13,7,121.0,114.2,6.7,8,7
Oklahoma City Thunder,22,21,1,119.0,103.8,15.1,1,1
Orlando Magic,21,13,8,117.3,112.4,4.9,8,10
Philadelphia 76ers,20,11,9,115.1,114.7,0.3,16,12
Phoenix Suns,22,13,9,116.1,113.2,2.9,8,12
Portland Trail Blazers,21,8,13,113.8,116.4,-2.6,21,19
Sacramento Kings,21,5,16,109.1,119.5,-10.4,25,25
San Antonio Spurs,20,14,6,118.4,113.8,4.6,5,5
Toronto Raptors,22,15,7,116.2,111.6,4.6,3,7
Utah Jazz,20,7,13,113.1,119.8,-6.7,22,19
Washington Wizards,20,3,17,108.3,122.4,-14.1,29,28
