,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,1610612737,Atlanta Hawks,22,13,9,0.591,1066.0,112.6,114.4,110.0,112.4,2.6,2.0,0.714,2.02,21.0,0.274,0.673,0.479,0.148,0.562,0.594,104.0,102.08,85.07,2268,0.519,1,8,12,12,4,17,8,15,2,6,1,24,26,26,18,7,7,8,12
1,1610612738,Boston Celtics,21,12,9,0.571,1008.0,117.0,120.0,112.1,115.6,4.9,4.4,0.56,2.05,17.5,0.332,0.661,0.495,0.121,0.549,0.577,98.8,96.14,80.12,2018,0.51,11,15,12,15,20,4,19,11,30,4,26,9,30,18,1,13,20,30,13
2,1610612751,Brooklyn Nets,20,4,16,0.2,960.0,108.2,111.9,118.6,121.4,-10.5,-9.5,0.66,1.63,18.0,0.307,0.667,0.477,0.156,0.521,0.563,100.2,97.4,81.17,1944,0.434,21,27,25,27,27,24,29,27,9,20,18,18,28,27,21,25,24,29,29
3,1610612766,Charlotte Hornets,21,6,15,0.286,1018.0,110.9,114.0,117.2,118.7,-6.3,-4.7,0.633,1.62,17.9,0.34,0.727,0.528,0.157,0.532,0.576,102.1,100.06,83.38,2122,0.477,11,24,23,24,11,18,24,23,11,21,20,6,1,3,23,22,21,24,22
4,1610612741,Chicago Bulls,20,9,11,0.45,970.0,112.3,113.4,115.0,116.8,-2.7,-3.4,0.681,1.92,19.8,0.272,0.703,0.494,0.145,0.554,0.59,105.8,104.51,87.09,2115,0.492,21,18,17,18,23,21,22,20,6,9,5,25,8,19,14,12,13,2,18
5,1610612739,Cleveland Cavaliers,22,13,9,0.591,1061.0,114.3,116.6,110.7,112.9,3.6,3.6,0.641,1.9,18.7,0.312,0.687,0.495,0.14,0.549,0.582,104.1,102.04,85.03,2256,0.51,1,8,12,12,6,10,10,12,10,10,11,15,18,17,7,14,18,9,14
6,1610612742,Dallas Mavericks,22,7,15,0.318,1071.0,105.0,107.0,109.4,111.5,-4.5,-4.5,0.616,1.54,17.2,0.268,0.69,0.482,0.153,0.514,0.555,104.5,102.5,85.42,2284,0.478,1,22,23,23,2,30,5,22,16,28,27,27,14,25,19,29,29,6,21
7,1610612743,Denver Nuggets,20,14,6,0.7,965.0,122.3,123.7,113.2,114.9,9.1,8.8,0.664,2.15,20.5,0.329,0.711,0.532,0.138,0.584,0.626,101.6,100.28,83.56,2015,0.553,21,5,5,5,25,1,16,3,8,1,3,10,4,2,6,2,2,21,3
8,1610612765,Detroit Pistons,21,17,4,0.81,1013.0,113.8,116.2,108.4,110.6,5.4,5.6,0.6,1.6,17.9,0.355,0.691,0.525,0.159,0.547,0.584,103.9,101.78,84.82,2147,0.541,11,2,2,2,15,13,2,5,26,24,19,3,13,5,24,15,16,10,4
9,1610612744,Golden State Warriors,22,11,11,0.5,1061.0,111.1,112.9,110.5,112.2,0.6,0.7,0.697,1.7,19.2,0.294,0.676,0.484,0.16,0.542,0.584,102.6,101.02,84.18,2230,0.497,1,16,17,17,6,23,7,16,4,18,9,21,25,23,27,18,17,14,17
10,1610612745,Houston Rockets,18,13,5,0.722,879.0,119.1,122.0,109.9,111.1,9.1,10.9,0.584,1.68,17.6,0.405,0.694,0.55,0.153,0.547,0.588,100.0,98.24,81.87,1797,0.555,30,8,3,4,30,2,3,2,28,19,24,1,11,1,20,16,15,27,2
11,1610612754,Indiana Pacers,21,4,17,0.19,1018.0,104.9,107.2,113.8,116.2,-9.0,-9.0,0.601,1.61,16.3,0.308,0.684,0.487,0.141,0.49,0.535,103.9,101.75,84.79,2159,0.449,11,27,28,28,11,29,20,26,24,23,30,17,20,22,8,30,30,11,26
12,1610612746,LA Clippers,21,5,16,0.238,1018.0,111.0,113.7,117.7,120.0,-6.7,-6.3,0.6,1.5,17.5,0.288,0.678,0.489,0.16,0.544,0.591,100.1,97.91,81.59,2075,0.471,11,25,25,25,14,20,27,24,25,29,25,22,24,21,28,17,12,28,23
13,1610612747,Los Angeles Lakers,20,15,5,0.75,960.0,116.7,118.3,113.5,115.3,3.2,3.1,0.606,1.58,18.4,0.3,0.705,0.513,0.162,0.583,0.626,102.1,100.55,83.79,2012,0.523,21,3,3,3,27,8,18,13,22,25,14,19,7,11,30,3,1,20,11
14,1610612763,Memphis Grizzlies,22,9,13,0.409,1061.0,108.9,111.5,113.2,115.0,-4.3,-3.6,0.711,1.96,19.6,0.315,0.724,0.515,0.144,0.517,0.559,103.3,101.34,84.45,2243,0.491,1,18,19,19,6,25,17,21,3,8,7,14,2,7,10,28,27,12,19
15,1610612748,Miami Heat,21,14,7,0.667,1013.0,114.5,116.5,108.3,111.2,6.2,5.3,0.672,2.09,20.1,0.276,0.668,0.483,0.136,0.556,0.594,108.4,106.09,88.41,2241,0.536,11,5,7,8,15,11,4,6,7,2,4,23,27,24,3,11,8,1,5
16,1610612749,Milwaukee Bucks,22,9,13,0.409,1066.0,113.5,114.8,114.6,116.8,-1.1,-2.0,0.631,1.85,19.4,0.249,0.684,0.469,0.145,0.585,0.605,101.7,100.17,83.47,2223,0.483,1,18,19,19,4,16,23,18,13,12,8,30,19,29,12,1,5,22,20
17,1610612750,Minnesota Timberwolves,21,13,8,0.619,1018.0,116.4,118.4,111.1,113.6,5.2,4.7,0.618,1.77,18.5,0.31,0.689,0.502,0.147,0.57,0.605,102.7,100.72,83.93,2139,0.524,11,8,10,10,11,7,12,8,15,15,13,16,16,13,16,4,4,18,9
18,1610612740,New Orleans Pelicans,22,3,19,0.136,1071.0,109.1,110.5,119.8,120.7,-10.7,-10.2,0.574,1.56,16.5,0.316,0.689,0.492,0.147,0.517,0.556,101.6,100.59,83.83,2241,0.439,1,29,30,30,2,26,28,28,29,27,29,13,17,20,17,27,28,19,28
19,1610612752,New York Knicks,20,13,7,0.65,960.0,118.7,121.0,111.8,114.2,6.9,6.7,0.632,2.0,19.0,0.343,0.722,0.527,0.137,0.556,0.591,101.4,99.35,82.79,1988,0.528,21,8,7,9,27,3,14,4,12,7,10,4,3,4,5,9,11,26,8
20,1610612760,Oklahoma City Thunder,22,21,1,0.955,1076.0,117.7,119.0,102.3,103.8,15.4,15.1,0.598,2.04,18.6,0.256,0.707,0.496,0.125,0.567,0.61,102.3,100.97,84.14,2261,0.591,1,1,1,1,1,5,1,1,27,5,12,28,6,16,2,5,3,15,1
21,1610612753,Orlando Magic,21,13,8,0.619,1013.0,115.2,117.3,109.9,112.4,5.3,4.9,0.612,1.71,17.8,0.335,0.708,0.521,0.147,0.542,0.592,103.3,101.31,84.42,2140,0.533,11,8,10,10,15,9,9,7,19,17,23,7,5,6,15,19,9,13,7
22,1610612755,Philadelphia 76ers,20,11,9,0.55,980.0,112.4,115.1,112.0,114.7,0.4,0.3,0.615,1.74,17.8,0.32,0.679,0.5,0.144,0.536,0.577,103.2,100.73,83.94,2056,0.498,21,16,12,16,21,15,15,17,17,16,22,11,23,14,11,20,19,17,16
23,1610612756,Phoenix Suns,22,13,9,0.591,1061.0,114.0,116.1,110.9,113.2,3.0,2.9,0.612,1.61,18.0,0.342,0.69,0.512,0.16,0.556,0.589,102.1,100.12,83.43,2217,0.506,1,8,12,12,6,14,11,14,20,22,17,5,15,12,25,10,14,23,15
24,1610612757,Portland Trail Blazers,21,8,13,0.381,1013.0,110.9,113.8,115.0,116.4,-4.1,-2.6,0.602,1.49,16.7,0.362,0.683,0.513,0.16,0.519,0.563,105.5,103.46,86.22,2182,0.469,11,21,19,21,15,19,21,19,23,30,28,2,21,10,26,26,25,3,25
25,1610612758,Sacramento Kings,21,5,16,0.238,1013.0,107.1,109.1,117.6,119.5,-10.4,-10.4,0.625,1.87,18.4,0.253,0.682,0.461,0.136,0.527,0.562,103.9,102.11,85.09,2151,0.447,11,25,25,25,15,27,25,29,14,11,16,29,22,30,4,24,26,7,27
26,1610612759,San Antonio Spurs,20,14,6,0.7,965.0,117.1,118.4,110.5,113.8,6.6,4.6,0.611,1.78,18.4,0.318,0.699,0.514,0.145,0.564,0.605,101.9,99.83,83.19,2013,0.534,21,5,5,5,25,6,13,9,21,13,15,12,10,8,13,6,6,25,6
27,1610612761,Toronto Raptors,22,15,7,0.682,1061.0,113.7,116.2,110.0,111.6,3.7,4.6,0.686,2.07,20.5,0.298,0.693,0.499,0.143,0.557,0.592,102.7,100.86,84.05,2229,0.524,1,3,7,7,10,12,6,10,5,3,2,20,12,15,9,8,10,16,10
28,1610612762,Utah Jazz,20,7,13,0.35,975.0,111.2,113.1,118.0,119.8,-6.8,-6.7,0.727,1.78,19.7,0.334,0.7,0.514,0.161,0.528,0.575,104.8,103.04,85.87,2094,0.469,21,22,19,22,22,22,26,25,1,14,6,8,9,9,29,23,22,4,24
29,1610612764,Washington Wizards,20,3,17,0.15,970.0,107.1,108.3,120.3,122.4,-13.2,-14.1,0.613,1.57,17.8,0.272,0.667,0.469,0.157,0.535,0.564,104.5,103.03,85.86,2084,0.425,21,29,28,29,24,28,30,30,18,26,21,26,29,28,22,21,23,5,30
