,LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,PreAS,PostAS
0,00,22025,1610612760,Oklahoma City,Thunder,West,17-1,1,,Northwest,4-1,1,21,1,0.955,1.0,21-1,10-0,11-1,10-0,10-0,9-1,2-0,1-1,14-0,10,W 10,7,W 7,13,1,10,W 10,7,W 7,13,W 13,0.0,0.0,,,,,,15-1,6-0,0-0,18-1,3-0,0-0,21-1,16-1,9-1,19-1,10-1,19-1,122.0,107.0,15.0,4-0,0-0,1-0,3-0,17-1,4-1,8-0,5-0,,,,,,,,,,6-0,14-1,1-0,21-1,
1,00,22025,1610612765,Detroit,Pistons,East,13-4,1,,Central,4-2,1,17,4,0.81,,17-4,8-2,8-2,8-2,8-2,8-2,1-0,4-2,7-1,6,W 6,7,W 7,13,2,1,W 1,1,W 1,2,W 2,0.0,0.0,,,,,,14-1,3-3,0-0,14-0,3-4,0-0,16-3,16-4,7-4,15-1,11-2,12-1,119.0,113.0,6.0,13-4,4-1,4-2,5-1,4-0,1-0,0-0,3-0,,,,,,,,,,3-2,13-2,1-0,17-4,
2,00,22025,1610612747,Los Angeles,Lakers,West,12-4,2,,Pacific,2-2,1,15,5,0.75,2.0,15-5,7-3,8-2,8-2,7-3,8-2,0-0,3-0,9-5,6,W 6,4,W 4,7,1,-1,L 1,3,W 3,-1,L 1,5.0,0.0,,,,,,10-0,4-5,1-0,13-0,2-5,0-0,15-4,14-5,8-3,11-2,8-2,7-0,119.0,116.0,3.0,3-1,0-0,1-0,2-1,12-4,5-2,2-2,5-0,,,,,,,,,,4-2,11-2,0-1,15-5,
3,00,22025,1610612761,Toronto,Raptors,East,13-4,2,,Atlantic,3-2,1,15,7,0.682,2.0,15-7,8-2,7-5,8-2,8-2,6-4,0-1,3-0,11-5,8,W 8,4,W 4,9,4,8,W 8,-2,L 2,1,W 1,2.5,0.0,,,,,,13-3,2-4,0-0,14-1,1-5,0-1,14-6,12-7,8-4,13-1,11-1,8-5,118.0,113.0,5.0,13-4,3-2,6-1,4-1,2-3,1-0,0-0,1-3,,,,,,,,,,2-4,12-3,1-0,15-7,
4,00,22025,1610612748,Miami,Heat,East,8-4,3,,Southeast,2-1,1,14,7,0.667,4.0,14-7,10-2,4-5,7-3,8-2,4-5,1-0,4-1,7-3,5,W 5,2,W 2,6,2,1,W 1,2,W 2,1,W 1,3.0,0.0,,,,,,13-1,1-6,0-0,13-2,1-5,0-0,14-7,13-7,10-7,13-5,5-2,10-2,124.0,118.0,6.0,8-4,3-1,3-2,2-1,6-3,1-1,3-1,2-1,,,,,,,,,,3-2,10-5,1-0,14-7,
5,00,22025,1610612745,Houston,Rockets,West,6-4,3,,Southwest,2-1,1,13,5,0.722,,13-5,5-2,8-3,8-2,5-2,8-2,1-1,0-2,9-1,5,W 5,5,W 5,5,2,-1,L 1,-1,L 1,-1,L 1,6.0,0.0,,,,,,10-2,3-3,0-0,10-1,3-4,0-0,13-5,12-5,7-3,11-1,13-3,6-1,122.0,111.0,11.0,7-1,3-0,2-1,2-0,6-4,2-3,2-0,2-1,,,,,,,,,,2-2,11-2,0-1,13-5,
6,00,22025,1610612752,New York,Knicks,East,10-7,4,,Atlantic,4-1,2,13,7,0.65,3.0,13-7,10-1,3-6,6-4,9-1,3-6,0-0,1-1,9-4,7,W 7,-4,L 4,5,3,3,W 3,-1,L 1,-1,L 1,3.5,1.0,,,,,,11-2,2-5,0-0,12-0,0-7,1-0,13-7,10-7,5-6,6-1,10-3,11-1,120.0,113.0,7.0,10-7,4-1,3-2,3-4,3-0,1-0,0-0,2-0,,,,,,,,,,2-3,11-3,0-1,13-7,
7,00,22025,1610612759,San Antonio,Spurs,West,9-6,4,,Southwest,6-0,2,14,6,0.7,3.0,14-6,9-2,5-4,6-4,8-2,5-4,1-0,1-2,7-2,5,W 5,2,W 2,5,2,4,W 4,-1,L 1,1,W 1,6.0,0.0,,,,,,11-3,3-3,0-0,10-3,4-3,0-0,14-6,13-6,6-5,10-3,10-4,8-2,119.0,114.0,5.0,5-0,2-0,1-0,2-0,9-6,2-1,1-5,6-0,,,,,,,,,,5-0,8-6,1-0,14-6,
8,00,22025,1610612743,Denver,Nuggets,West,12-5,5,,Northwest,2-1,2,14,6,0.7,,14-6,6-4,8-2,6-4,6-4,8-2,0-1,1-3,11-1,6,W 6,7,W 7,7,1,-4,L 4,7,W 7,-1,L 1,6.0,6.0,,,,,,10-5,4-1,0-0,14-4,0-1,0-1,14-6,13-6,7-4,12-4,10-4,6-1,125.0,116.0,9.0,2-1,0-0,1-1,1-0,12-5,2-1,6-2,4-2,,,,,,,,,,3-2,11-3,0-1,14-6,
9,00,22025,1610612753,Orlando,Magic,East,10-7,5,,Southeast,3-2,2,13,8,0.619,1.0,13-8,8-3,5-5,8-2,7-3,5-5,0-1,2-0,7-4,6,W 6,2,W 2,3,4,6,W 6,2,W 2,3,W 3,4.0,1.0,,,,,,10-2,2-5,1-1,10-3,2-5,1-0,13-7,11-8,8-5,11-1,8-6,8-2,120.0,114.0,5.0,10-7,5-3,2-2,3-2,3-1,1-0,2-0,0-1,,,,,,,,,,2-4,10-4,1-0,13-8,
